"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"","3275","Columbus Drive","13","14","40.71835519823214","-74.03891444206238","In Service","1","1","Columbus Drive","","","","","","False","2019-11-28 05:26:57 AM",""
"","3276","Marin Light Rail","1","26","40.71458403535893","-74.04281705617905","In Service","1","24","Marin Light Rail","","","","","","False","2019-11-28 05:26:21 AM",""
"","3277","Communipaw & Berry Lane","12","14","40.71435836870427","-74.06661093235016","In Service","1","2","Communipaw & Berry Lane","","","","","","False","2019-11-28 05:23:18 AM",""
"","3278","Monmouth and 6th","0","14","40.72568548362901","-74.04879033565521","In Service","1","13","Monmouth and 6th","","","","","","False","2019-11-28 05:25:11 AM",""
"","3279","Dixon Mills","5","18","40.721630142638354","-74.04996782541275","In Service","1","13","Dixon Mills","","","","","","False","2019-11-28 05:26:18 AM",""
"","3280","Astor Place","3","14","40.71928220070702","-74.07126188278198","In Service","1","11","Astor Place","","","","","","False","2019-11-28 05:26:08 AM",""
"","3281","Leonard Gordon Park","10","14","40.74590996631558","-74.0572714805603","In Service","1","2","Leonard Gordon Park","","","","","","False","2019-11-28 05:25:45 AM",""
"","3282","5 Ave & E 88 St","26","38","40.78307","-73.95939","In Service","1","12","5 Ave & E 88 St","","","","","","False","2019-11-28 05:26:51 AM",""
"","3283","W 89 St & Columbus Ave","11","47","40.7882213","-73.97041561","In Service","1","36","W 89 St & Columbus Ave","","","","","","False","2019-11-28 05:25:13 AM",""
"","3284","E 88 St & Park Ave","5","38","40.781410700190015","-73.95595908164978","In Service","1","33","E 88 St & Park Ave","","","","","","False","2019-11-28 05:25:10 AM",""
"","3285","W 87 St & Amsterdam Ave","8","43","40.78839","-73.9747","In Service","1","35","W 87 St & Amsterdam Ave","","","","","","False","2019-11-28 05:24:11 AM",""
"","3286","E 89 St & 3 Ave","0","39","40.7806284","-73.9521667","In Service","1","39","E 89 St & 3 Ave","","","","","","False","2019-11-28 05:23:32 AM",""
"","3287","W 87 St & West End Ave","18","47","40.789622","-73.97757","In Service","1","29","W 87 St & West End Ave","","","","","","False","2019-11-28 05:24:08 AM",""
